"id","DateTime","DateTimeDigitized","DateTimeOriginal","ExifVersion","ExposureBias","FNumber","Flash","FocalLength","GPSAltitude","GPSAltitudeRef","GPSDateStamp","GPSInfo","GPSLatitude","GPSLatitudeRef","GPSLongitude","GPSLongitudeRef","GPSProcessingMethod","GPSTimeStamp","ISO","brightnessValue","compressedBitsPerPixel","contrast","digitalZoomRatio","exposureProgram","exposureTime","focalLengthIn35mmFilm","gPanoCaptureSoftware","gPanoCroppedAreaImageHeightPixels","gPanoCroppedAreaImageWidthPixels","gPanoCroppedAreaLeftPixels","gPanoCroppedAreaTopPixels","gPanoFullPanoHeightPixels","gPanoFullPanoWidthPixels","gPanoLargestValidInteriorRectHeight","gPanoLargestValidInteriorRectLeft","gPanoLargestValidInteriorRectTop","gPanoLargestValidInteriorRectWidth","gPanoNorthPosInX","gPanoProjectionType","gPanoStitchingSoftware","gPanoUsePanoramaViewer","lightSource","make","maxApertureValue","meteringMode","model","pixelXDimension","pixelYDimension","resolutionUnit","saturation","sharpness","whiteBalance","xResolution","yResolution","Orientation"
"27","2014-06-01 10:31:14","2014-06-01 10:31:14","2014-06-01 10:31:14","0220","0","2","0","3.82","9.699","0","2014-06-01 08:00:00","1462","30.270713805555555","N","120.06837461111111","E","ASCII","","125","6.073968","11873568/4085760 (2.906)","0","0","2","0.001484","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
"28","2014-05-31 15:48:19","2014-05-31 15:48:19","2014-05-31 15:48:19","0220","0","2","0","3.82","46.5","0","2014-05-31 08:00:00","1462","30.211898777777776","N","120.12907408333332","E","ASCII","","160","1.380788","16556096/4085760 (4.052)","0","0","2","0.03","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"29","2014-06-01 10:28:53","2014-06-01 10:28:53","2014-06-01 10:28:53","0220","0","2","0","3.82","4.3","0","2014-06-01 08:00:00","1462","30.270397166666665","N","120.06967925","E","ASCII","","125","6.263001","18819648/4085760 (4.606)","0","0","2","0.001302","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"30","2014-05-31 15:47:12","2014-05-31 15:47:12","2014-05-31 15:47:11","0220","0","2","0","3.82","49.299","0","2014-05-31 08:00:00","1462","30.211944555555554","N","120.12913511111111","E","ASCII","","200","2.643823","19608520/4085760 (4.799)","0","0","2","0.01","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"31","2014-05-31 15:46:24","2014-05-31 15:46:24","2014-05-31 15:46:23","0220","0","2","0","3.82","23.299","0","2014-05-31 08:00:00","1462","30.21194647222222","N","120.12937925","E","ASCII","","125","2.321895","22921048/4085760 (5.61)","0","0","2","0.02","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"32","2014-06-01 12:00:49","2014-06-01 12:00:49","2014-06-01 12:00:48","0220","0","2","0","3.82","63","0","2014-06-01 08:00:00","1462","30.275152194444445","N","120.06941222222221","E","ASCII","","125","5.862464","20621152/4085760 (5.047)","0","0","2","0.001718","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"33","2014-06-01 12:00:24","2014-06-01 12:00:24","2014-06-01 12:00:24","0220","0","2","0","3.82","63","0","2014-06-01 08:00:00","1462","30.275152194444445","N","120.06941222222221","E","ASCII","","125","6.549306","17777712/4085760 (4.351)","0","0","2","0.001067","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"34","2014-01-29 10:46:14","","","","","","","","","","","302","0","N","0","E","","","","","","","","","","","","","","","","","","","","","","","","","","","HTC","","","HTC One","2688","1520","","","","","","","0"
"35","2014-05-31 12:30:39","2014-05-31 12:30:39","2014-05-31 12:30:39","0220","0","2.2","0","3.5","14","0","2014-05-31 08:00:00","720","30.254228583333333","N","120.13376616666667","E","","","58","","","","1","0","0.00088","","","","","","","","","","","","","","","","","255","HUAWEI                         ","","2","HUAWEI G750-T01                ","3120","4160","","","","0","72","72","0"
"36","2014-05-31 12:30:39","2014-05-31 12:30:39","2014-05-31 12:30:39","0220","0","2.2","0","3.5","14","0","2014-05-31 08:00:00","720","30.254228583333333","N","120.13376616666667","E","","","58","","","","1","0","0.00088","","","","","","","","","","","","","","","","","255","HUAWEI                         ","","2","HUAWEI G750-T01                ","3120","4160","","","","0","72","72","0"
"37","2014-05-31 13:50:34","2014-05-31 13:50:34","2014-05-31 13:50:34","0220","0","2.2","0","3.5","8","0","2014-05-31 08:00:00","720","30.233015055555555","N","120.13864133333334","E","","","58","","","","1","0","0.000616","","","","","","","","","","","","","","","","","255","HUAWEI                         ","","2","HUAWEI G750-T01                ","3120","4160","","","","0","72","72","0"
"38","2014-05-31 13:18:30","2014-05-31 13:18:30","2014-05-31 13:18:30","0220","0","2.2","0","3.5","26","0","2014-05-31 08:00:00","720","30.240409833333334","N","120.13535308333334","E","","","61","","","","1","0","0.00022","","","","","","","","","","","","","","","","","255","HUAWEI                         ","","2","HUAWEI G750-T01                ","4160","3120","","","","0","72","72","0"
"39","2014-05-31 12:44:51","2014-05-31 12:44:51","2014-05-31 12:44:51","0220","0","2.2","0","3.5","12","0","2014-05-31 08:00:00","720","30.252902972222223","N","120.1312713611111","E","","","57","","","","1","0","0.001914","","","","","","","","","","","","","","","","","255","HUAWEI                         ","","2","HUAWEI G750-T01                ","3120","4160","","","","0","72","72","0"
"40","2014-05-31 12:30:33","2014-05-31 12:30:33","2014-05-31 12:30:33","0220","0","2.2","0","3.5","14","0","2014-05-31 08:00:00","720","30.254228583333333","N","120.13376616666667","E","","","57","","","","1","0","0.002706","","","","","","","","","","","","","","","","","255","HUAWEI                         ","","2","HUAWEI G750-T01                ","3120","4160","","","","0","72","72","0"
"41","2014-05-31 12:34:15","2014-05-31 12:34:15","2014-05-31 12:34:15","0220","0","2.2","0","3.5","13","0","2014-05-31 08:00:00","720","30.25408361111111","N","120.13296508333333","E","","","57","","","","1","0","0.007172","","","","","","","","","","","","","","","","","255","HUAWEI                         ","","2","HUAWEI G750-T01                ","3120","4160","","","","0","72","72","0"
"42","2014-06-01 09:55:09","2014-06-01 09:55:09","2014-06-01 09:55:09","0220","0","2.2","0","3.5","-8","0","2014-06-01 08:00:00","720","30.26728438888889","N","120.07035063888888","E","","","57","","","","1","0","0.006644","","","","","","","","","","","","","","","","","255","HUAWEI                         ","","2","HUAWEI G750-T01                ","3120","4160","","","","0","72","72","0"
"43","2014-06-01 12:57:56","2014-06-01 12:57:56","2014-06-01 12:57:56","0220","0","2.2","0","3.5","-4","0","2014-06-01 08:00:00","720","30.27467536111111","N","120.06539916666667","E","","","66","","","","1","0","0.01001","","","","","","","","","","","","","","","","","255","HUAWEI                         ","","2","HUAWEI G750-T01                ","3120","4160","","","","0","72","72","0"
"44","2014-01-11 13:32:59","2014-01-11 13:32:59","2014-01-11 13:32:59","0220","0","2","0","3.82","","","","918","","","","","","","125","9.321896","11911560/4085760 (2.915)","0","0","2","0.000156","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"45","2014-01-12 11:42:04","2014-01-12 11:42:04","2014-01-12 11:42:03","0220","0","2","0","3.82","","","","918","","","","","","","160","1.965751","11007456/4085760 (2.694)","0","0","2","0.02","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
